Tytuł;Tytuł org.;Rok;Długość;Ocena;Liczba ocen;Chce zobaczyć;Ocena krytyków;Liczba ocen krytyków;Reżyser;Scenariusz;Gatunek;Kraj;Box Office;Budżet;1;2;3;4;5;6;7;8;9;10;Komentarze;Typ długości;Region
Czekając na wieczność;Waiting for Forever;2010;95.0;6.321849822998047;14889;7535;1.0;1.0;James Keach;Steve Adams;Dramat;USA;;;158;193;679;986;2322;3203;3811;2233;808;496;217;Długometrażowy;USA
Granice namiętności;The Edge of Love;2008;110.0;6.7320098876953125;14859;17278;6.0;2.0;John Maybury;Sharman MacDonald;Dokumentalny;Wielka Brytania;;;48;67;338;536;1553;3212;4838;3036;810;421;251;Długometrażowy;Europa
Legiony;Legiony;2019;136.0;5.798920154571533;14755;5824;4.375;16.0;Dariusz Gajewski;Tomasz Łysiak, Michał Godzic;Dramat;Polska;;;505;377;1149;1384;2657;3314;2758;1391;482;738;443;Długometrażowy;Polska
Miłość na żądanie;Jeux d'enfants;2003;93.0;7.058770179748535;14447;9613;5.0;2.0;Yann Samuell;Yann Samuell, Jacky Cukier;Dramat;Francja;553504.0;;134;126;374;524;1239;2116;3627;3608;1760;939;294;Długometrażowy;Europa
Jedwab;Silk;2007;112.0;6.311389923095703;14342;9436;4.33333;3.0;François Girard;Alessandro Baricco, François Girard;Dramat;Kanada;1103075.0;20000000.0;65;104;528;941;2200;3669;4001;1975;514;345;291;Długometrażowy;Pozostałe
Trzy metry nad niebem;Tre metri sopra il cielo;2004;101.0;7.007959842681885;14317;5910;;;Luca Lucini, Teresa Ciabatti;Federico Moccia;Dramat;Włochy;;;215;149;455;572;1256;2150;3431;3180;1560;1349;445;Długometrażowy;Europa
Moja miłość;Mon roi;2015;130.0;7.148499965667725;14269;17354;5.2;5.0;Maïwenn;Étienne Comar, Maïwenn;Dramat;Francja;54114.0;;39;41;158;258;924;2185;4683;4309;1328;344;138;Długometrażowy;Europa
Tango;Tango, no me dejes nunca;1998;115.0;7.562210083007812;2170;2752;6.0;1.0;Carlos Saura;Carlos Saura;Dramat;Argentyna;1897948.0;;11;10;34;47;101;215;493;691;365;203;31;Długometrażowy;Pozostałe
Sparkle;Sparkle;2012;116.0;6.235980033874512;2068;1287;;;Salim Akil;Mara Brock Akil;Dramat;USA;24397469.0;14000000.0;5;11;59;128;338;668;545;213;47;54;51;Długometrażowy;USA
Grinch: Świąt nie będzie;How the Grinch Stole Christmas!;1966;26.0;7.100100040435791;2068;722;6.0;1.0;Chuck Jones;;Animacja;USA;;;12;8;31;58;142;378;648;461;172;158;41;Krótkometrażowy;USA
In the Heights: Wzgórza marzeń;In the Heights;2021;143.0;6.819509983062744;2050;1943;6.6;5.0;Jon M. Chu;Quiara Alegria Hudes;Dramat;USA;29879041.0;55000000.0;12;19;47;66;172;425;612;501;137;59;32;Długometrażowy;USA
Panowie w cylindrach;Top Hat;1935;101.0;7.694240093231201;2031;2734;6.71429;7.0;Mark Sandrich;Károly Nóti, Sándor Faragó;Komedia;USA;1782000.0;609000.0;8;2;17;22;68;179;561;637;331;206;31;Długometrażowy;USA
Spice World;Spice World;1997;93.0;4.28879976272583;1991;523;2.0;2.0;Bob Spiers;Kim Fuller, Jamie Curtis;Familijny;Wielka Brytania;29342592.0;25000000.0;264;227;342;314;318;212;107;57;28;122;131;Długometrażowy;Europa
Przystanek autobusowy;Bus Stop;1956;94.0;6.758059978485107;1984;1892;1.0;1.0;Joshua Logan;George Axelrod;Dramat;USA;;;12;11;58;81;219;382;589;428;98;106;36;Długometrażowy;USA
Billu;Billu;2009;137.0;7.326869964599609;1961;629;;;Priyadarshan;Priyadarshan, Mushtaq Sheikh;Dramat;Indie;754928.0;;37;26;30;53;107;245;436;569;212;246;71;Długometrażowy;Pozostałe
Józef - władca snów;Joseph: King of Dreams;2000;75.0;6.796860218048096;1846;562;;;Robert C. Ramirez, Rob LaDuca;Joe Stillman, Raymond Singer;Animacja;USA;;;8;15;34;78;170;369;613;373;104;82;22;Średniometrażowy;USA
Pingwin;Pingwin;1964;95.0;7.588059902191162;1658;1075;7.0;1.0;Jerzy Stefan Stawiński;Jerzy Stefan Stawiński;Dramat;Polska;;;5;6;7;18;60;164;391;689;242;76;36;Długometrażowy;Polska
Nie zaznasz spokoju;Nie zaznasz spokoju;1977;104.0;7.333330154418945;1629;981;;;Mieczysław Waśkowski;Mieczysław Waśkowski, Wanda Falkowska;Dramat;Polska;;;10;5;9;29;83;212;466;570;176;69;61;Długometrażowy;Polska
Hazardziści;Hazardziści;1975;99.0;7.509290218353271;1614;687;;;Mieczysław Waśkowski;Mieczysław Waśkowski;Akcja;Polska;;;8;3;4;19;66;214;418;515;312;55;51;Długometrażowy;Polska
Dziewczęta z Nowolipek;Dziewczęta z Nowolipek;1937;97.0;6.564620018005371;1594;634;5.6;5.0;Józef Lejtes;Stanisław Urbanowicz, Józef Lejtes;Dramat;Polska;;;11;11;27;60;174;445;492;275;64;35;9;Długometrażowy;Polska
Koniec nocy;Koniec nocy;1956;90.0;7.332290172576904;1592;1120;6.4;5.0;Paweł Komorowski, Walentyna Maruszewska;Paweł Komorowski, Jerzy Wójcik;Dramat;Polska;;;11;3;14;25;121;245;420;341;349;63;31;Długometrażowy;Polska
Na wzgórzach Hollywood;Laurel Canyon;2002;103.0;6.489870071411133;1580;2507;6.0;1.0;Lisa Cholodenko;Lisa Cholodenko;Dramat;USA;3663356.0;;4;6;45;78;237;427;472;161;48;102;44;Długometrażowy;USA
Kłamczucha;Kłamczucha;1981;98.0;6.165279865264893;1567;772;;;Anna Sokołowska;Anna Sokołowska, Małgorzata Musierowicz;Dramat;Polska;;;22;27;76;107;256;413;367;169;50;80;87;Długometrażowy;Polska
Zachować twarz;Saving Face;2004;97.0;6.965789794921875;1520;1348;9.0;1.0;Alice Wu;Alice Wu;Dramat;USA;1187266.0;;10;7;30;38;128;293;470;350;106;88;47;Długometrażowy;USA
Słońce wschodzi raz na dzień;Słońce wschodzi raz na dzień;1967;90.0;7.499340057373047;1518;1105;7.2;5.0;Henryk Kluba;Wiesław Dymny;Dramat;Polska;;;14;8;12;39;77;176;299;490;322;81;12;Długometrażowy;Polska
Mumia: Grobowiec Cesarza Smoka;The Mummy: Tomb of the Dragon Emperor;2008;112.0;6.04856014251709;61673;3315;4.6;5.0;Rob Cohen;Miles Millar, Alfred Gough;Fantasy;Niemcy;102491776.0;145000000.0;645;976;2970;5095;10681;16857;14593;6145;1822;1889;1209;Długometrażowy;Europa
Oz: Wielki i Potężny;Oz: The Great and Powerful;2013;127.0;6.142350196838379;60947;14885;5.625;8.0;Sam Raimi;Mitchell Kapner, David Lindsay-Abaire;Fantasy;USA;234911825.0;215000000.0;294;527;2274;4198;10579;17675;16232;6623;1607;938;1565;Długometrażowy;USA
Fantastyczna Czwórka: Narodziny Srebrnego Surfera;4: Rise of the Silver Surfer;2007;92.0;6.142330169677734;59370;4729;4.4;5.0;Tim Story;Mark Frost, Don Payne;Akcja;USA;131921738.0;130000000.0;555;939;2616;4625;9626;15725;15063;6195;1852;2174;1043;Długometrażowy;USA
Atlantyda - zaginiony ląd;Atlantis: The Lost Empire;2001;90.0;7.410369873046875;58988;6893;6.0;2.0;Kirk Wise, Gary Trousdale;Tab Murphy;Animacja;USA;84056472.0;120000000.0;86;54;256;711;2317;7728;19738;18785;6212;3101;382;Długometrażowy;USA
Nikita;La Femme Nikita;1990;115.0;7.236100196838379;25100;8015;7.57143;7.0;Luc Besson;Maurice Hurley, Luc Besson;Akcja;Francja;5017971.0;;71;46;227;420;1326;3698;8535;7486;2259;1032;336;Długometrażowy;Europa
Shaft;Shaft;2019;111.0;6.666590213775635;24963;3429;4.75;4.0;Tim Story;Alex Barnow, Kenya Barris;Akcja;USA;21360215.0;30000000.0;64;113;401;794;2323;6286;9248;4352;954;428;171;Długometrażowy;USA
Na linii ognia;In the Line of Fire;1993;128.0;7.176080226898193;24779;5436;6.66667;3.0;Wolfgang Petersen;Jeff Maguire;Dramat;USA;102314823.0;40000000.0;33;15;86;276;964;3871;10426;7206;1305;597;199;Długometrażowy;USA
Reich;Reich;2001;90.0;6.279640197753906;24667;4353;4.5;6.0;Władysław Pasikowski;Władysław Pasikowski;Akcja;Polska;;;319;433;1043;1511;3396;6031;6708;3420;1000;806;626;Długometrażowy;Polska
Hans Kloss. Stawka większa niż śmierć;Hans Kloss. Stawka większa niż śmierć;2012;107.0;4.517399787902832;24538;4359;4.0;6.0;Patryk Vega;Władysław Pasikowski, Przemysław Woś;Akcja;Polska;;;1876;1974;4068;3951;4916;4012;2342;902;216;281;2656;Długometrażowy;Polska
Nico - ponad prawem;Above the Law;1988;99.0;6.845550060272217;24053;1560;5.0;1.0;Andrew Davis;Ronald Shusett, Andrew Davis;Akcja;USA;18869631.0;7500000.0;265;210;531;812;1966;4516;7831;5161;1511;1250;400;Długometrażowy;USA
Kalifornia;Kalifornia;1993;118.0;7.377019882202148;23667;11684;7.25;4.0;Dominic Sena;Tim Metcalfe;Akcja;USA;2395231.0;9000000.0;31;27;144;277;934;2991;7943;8142;2166;1012;443;Długometrażowy;USA
Skok stulecia;Den of Thieves;2018;140.0;7.050549983978272;23245;6229;5.0;1.0;Christian Gudegast;Christian Gudegast;Akcja;USA;44947622.0;30000000.0;38;35;149;322;1272;4117;9503;6197;1232;380;211;Długometrażowy;USA
Dziewczyny z Dubaju®;Dziewczyny z Dubaju®;2021;150.0;4.952310085296631;23128;5271;4.53846;13.0;Maria Sadowska;Lucas Coleman, Mitja Okorn;;Polska;;;1541;1386;2678;3444;4802;4528;2580;1087;340;742;870;Długometrażowy;Polska
Specjalista;The Specialist;1994;110.0;6.352459907531738;22462;2105;4.66667;3.0;Luis Llosa;Alexandra Seros;Akcja;USA;57362582.0;45000000.0;97;145;575;1113;3144;6623;7001;2700;580;484;219;Długometrażowy;USA
Ostatnia walka Apacza;Apache;1954;91.0;6.714290142059326;1197;345;;;Robert Aldrich;James R. Webb;;USA;6000000.0;;5;5;20;38;145;289;353;220;100;22;25;Długometrażowy;USA
Idąc na południe;Goin' South;1978;105.0;6.338369846343994;1191;859;;;Jack Nicholson;Charles Shyer, Alan Mandel;Komedia;USA;7435671.0;;8;11;22;64;182;361;354;103;41;45;32;Długometrażowy;USA
Dziki Bill;Wild Bill;1995;98.0;6.145549774169922;1168;687;6.0;1.0;Walter Hill;Walter Hill;Dokumentalny;USA;2193982.0;30000000.0;9;6;28;67;199;383;348;91;22;15;35;Długometrażowy;USA
Strzelby dla San Sebastian;La Bataille de San Sebastian;1968;111.0;7.01455020904541;1168;435;;;Henri Verneuil;Miguel Morayta, Ennio De Concini;;Francja;;;4;4;8;14;68;217;483;286;50;34;29;Długometrażowy;Europa
Jesień Czejenów;Cheyenne Autumn;1964;154.0;6.871019840240479;1163;689;6.0;1.0;John Ford;James R. Webb;;USA;;;7;1;17;33;87;246;413;268;57;34;28;Długometrażowy;USA
Przełęcz Złamanych Serc;Breakheart Pass;1975;95.0;6.77623987197876;1153;519;6.0;1.0;Tom Gries;Alistair MacLean;Akcja;USA;;;5;7;14;30;104;283;409;203;53;45;29;Długometrażowy;USA
Przejażdżka z diabłem;Ride with the Devil;1999;138.0;6.70851993560791;1139;1568;5.0;1.0;Ang Lee;James Schamus;Dramat;USA;;;6;4;17;46;122;264;376;211;52;41;44;Długometrażowy;USA
Nazywam się Nobody;Il Mio nome è Nessuno;1973;117.0;6.949019908905029;1118;1178;;;Tonino Valerii;Ernesto Gastaldi;Komedia;Francja;;;3;2;22;48;91;220;336;246;91;59;38;Długometrażowy;Europa
Elektryczny jeździec;The Electric Horseman;1979;114.0;6.339330196380615;1111;581;6.5;2.0;Sydney Pollack;Robert Garland;;USA;61801971.0;;7;2;23;33;168;389;332;105;27;25;10;Długometrażowy;USA
Winnetou i Apanaczi;Winnetou und das Halbblut Apanatschi;1966;90.0;6.737189769744873;1073;203;;;Harald Philipp;Fred Denger;Akcja;Jugosławia;;;12;5;26;48;102;251;328;169;47;85;39;Długometrażowy;Europa
Kofeina;Caffeine;2006;92.0;6.311039924621582;987;1251;;;John Cosgrove;Dean Craig;Komedia;USA;;;11;14;47;68;161;209;258;114;50;55;21;Długometrażowy;USA
Darmozjad polski;Darmozjad polski;1997;96.0;7.028039932250977;963;820;4.0;1.0;Łukasz Wylężałek;Łukasz Wylężałek;Komedia;Polska;;;20;10;32;39;70;140;185;282;115;70;37;Długometrażowy;Polska
Wojna płci;The Opposite of Sex;1998;105.0;5.778240203857422;956;1163;4.0;1.0;Don Roos;Don Roos;Komedia;USA;5881367.0;5000000.0;27;16;57;102;200;233;188;66;26;41;28;Długometrażowy;USA
Szminka;Why I Wore Lipstick to My Mastectomy;2006;120.0;7.120639801025391;945;682;6.0;1.0;Peter Werner;Nancey Silvers;Dokumentalny;USA;;;6;5;16;23;71;152;277;247;89;59;30;Długometrażowy;USA
Ostatni raz;The Last Time;2006;96.0;6.41786003112793;907;505;;;Michael Caleo;Michael Caleo;Komedia;USA;;;10;13;32;45;114;229;268;120;31;45;38;Długometrażowy;USA
Confetti;Confetti;2006;100.0;4.969029903411865;904;320;6.0;1.0;Debbie Isitt;Debbie Isitt;Komedia;Wielka Brytania;228498.0;;70;46;112;146;182;167;77;34;13;57;48;Długometrażowy;Europa
W drodze do domu;Hjem til jul;2010;90.0;6.369880199432373;903;1224;6.0;1.0;Bent Hamer;Bent Hamer;Dramat;Norwegia;;;7;8;27;38;116;247;290;138;20;12;35;Długometrażowy;Europa
Sposób na bezsenność;Dream for an Insomniac;1996;90.0;6.5249199867248535;903;1076;;;Tiffanie DeBartolo;Tiffanie DeBartolo;Komedia;USA;;;16;6;30;37;139;213;213;141;46;62;31;Długometrażowy;USA
Bilety;Tickets;2005;115.0;6.816349983215332;844;735;;;Ermanno Olmi, Abbas Kiarostami;Ermanno Olmi, Paul Laverty;Dramat;Wielka Brytania;;;13;2;9;33;74;160;295;178;42;38;15;Długometrażowy;Europa
Queen;Queen;2014;146.0;7.303929805755615;839;330;8.0;1.0;Vikas Bahl;Vikas Bahl, Parveez Sheikh;Komedia;Indie;;;6;6;14;21;37;120;246;221;91;77;13;Długometrażowy;Pozostałe
Człowiek z magicznym pudełkiem;Człowiek z magicznym pudełkiem;2017;103.0;5.891769886016846;10856;12425;6.05882;17.0;Bodo Kox;Bodo Kox;Dramat;Polska;;;256;282;836;875;1896;2447;2334;1167;333;430;226;Długometrażowy;Polska
Zakochani widzą słonie;Voksne mennesker;2005;109.0;7.020470142364502;10797;7382;6.2;5.0;Dagur Kári;Dagur Kári, Rune Schjøtt;Dramat;Dania;;;79;47;193;345;811;1667;3463;2797;956;439;240;Długometrażowy;Europa
Rozważni i romantyczni - Klub miłośników Jane Austen;The Jane Austen Book Club;2007;106.0;6.590449810028076;10509;4273;;;Robin Swicord;Robin Swicord;Dramat;USA;3575227.0;;71;52;174;429;1224;2658;3461;1714;421;305;217;Długometrażowy;USA
Wpływ księżyca;Moonstruck;1987;102.0;7.099180221557617;10224;7421;7.875;8.0;Norman Jewison;John Patrick Shanley;Dramat;USA;80640528.0;;23;28;114;194;674;1758;3604;2630;791;408;80;Długometrażowy;USA
Niebo nad Paryżem;Paris;2008;130.0;6.924210071563721;9975;9431;7.66667;3.0;Cédric Klapisch;Cédric Klapisch;Dramat;Francja;1010194.0;12000000.0;48;43;167;301;792;1796;3451;2387;659;331;164;Długometrażowy;Europa
Ich noce;It Happened One Night;1934;105.0;7.897900104522705;9892;10492;8.4;15.0;Frank Capra;Robert Riskin;Komedia;USA;;;95;26;32;66;174;585;2074;3885;1909;1046;159;Długometrażowy;USA
Czeski błąd;Kawasakiho růže;2009;100.0;6.99105978012085;4139;4792;7.0;3.0;Jan Hřebejk;Petr Jarchovský;Dramat;Czechy;;;19;26;53;99;266;731;1432;1135;290;88;101;Długometrażowy;Europa
Niewiniątka;The Children's Hour;1961;107.0;7.798329830169678;3957;6159;6.5;4.0;William Wyler;Lillian Hellman, John Michael Hayes;Dramat;USA;;;11;8;19;21;108;317;902;1531;714;326;72;Długometrażowy;USA
Wałkonie;I vitelloni;1953;100.0;7.417490005493164;3945;4395;7.45455;11.0;Federico Fellini;Ennio Flaiano, Federico Fellini;Dramat;Francja;116428.0;;24;15;20;40;141;413;1317;1368;428;179;44;Długometrażowy;Europa
Prochy Angeli;Angela's Ashes;1999;145.0;7.600830078125;3838;5275;;;Alan Parker;Laura Jones, Alan Parker;Dramat;USA;13042112.0;50000000.0;14;4;17;38;101;358;1096;1476;526;208;68;Długometrażowy;USA
Taśma;Tape;2001;86.0;7.104020118713379;3778;5573;6.85714;7.0;Richard Linklater;Stephen Belber;Dramat;USA;;;28;27;65;87;238;574;1161;1062;403;133;95;Długometrażowy;USA
Moskwa nie wierzy łzom;Moskva slezam ne verit;1980;150.0;7.760540008544922;3700;3589;6.33333;3.0;Vladimir Menshov;Valentin Chernykh;Dramat;ZSRR;2500000.0;900000.0;21;8;25;32;89;302;872;1369;659;323;90;Długometrażowy;Europa
Krzyk kamienia;Cerro Torre: Schrei aus Stein;1991;105.0;7.235249996185303;3677;3931;6.33333;3.0;Werner Herzog;Walter Saxer, Robert Geoffrion;Akcja;Niemcy;;;13;11;49;94;263;499;1070;1039;455;184;100;Długometrażowy;Europa
Umberto D.;Umberto D.;1952;91.0;7.741089820861816;3646;4915;7.91667;12.0;Vittorio De Sica;Cesare Zavattini;Dramat;Włochy;;;45;13;22;25;90;259;820;1397;683;292;89;Długometrażowy;Europa
Mila księżycowego światła;Moonlight Mile;2002;117.0;6.646140098571777;3589;3148;6.0;1.0;Brad Silberling;Brad Silberling;Dramat;USA;6835856.0;21000000.0;21;18;52;143;358;925;1221;592;145;114;65;Długometrażowy;USA
Pokolenie;Pokolenie;1954;83.0;6.6814799308776855;4163;2397;6.5;8.0;Andrzej Wajda;Bohdan Czeszko;Dramat;Polska;;;53;20;88;152;508;1054;1121;565;401;201;137;Długometrażowy;Polska
Czerwona pustynia;Il Deserto rosso;1964;120.0;7.420519828796387;4114;7023;8.0;8.0;Michelangelo Antonioni;Michelangelo Antonioni, Tonino Guerra;Dramat;Francja;;;32;17;68;94;208;483;978;1301;640;293;98;Długometrażowy;Europa
Nagle, ostatniego lata;Suddenly, Last Summer;1959;114.0;7.788909912109375;4022;6205;7.25;4.0;Joseph L. Mankiewicz;Gore Vidal, Tennessee Williams;Dramat;USA;13897500.0;3000000.0;14;7;23;34;130;344;909;1450;693;418;95;Długometrażowy;USA
Trzecia część nocy;Trzecia część nocy;1971;101.0;7.235730171203613;4013;5128;7.72727;11.0;Andrzej Żuławski;Andrzej Żuławski, Mirosław Żuławski;Dramat;Polska;;;34;31;95;95;259;438;1079;1248;524;210;85;Długometrażowy;Polska
Konformista;Il conformista;1970;115.0;7.410220146179199;3993;7455;7.22222;9.0;Bernardo Bertolucci;Bernardo Bertolucci;Dramat;Francja;;;18;12;51;57;204;426;1137;1342;565;181;48;Długometrażowy;Europa
Margaret;Margaret;2011;149.0;5.435279846191406;3940;6623;6.16667;6.0;Kenneth Lonergan;Kenneth Lonergan;Dramat;USA;;;81;94;442;450;945;869;596;316;89;58;178;Długometrażowy;USA
Wśród nocnej ciszy;Wśród nocnej ciszy;1978;116.0;7.643350124359131;3889;4112;6.77778;9.0;Tadeusz Chmielewski;Tadeusz Chmielewski;Dramat;Polska;;;12;10;17;40;114;366;979;1506;635;210;193;Długometrażowy;Polska
Egoiści;Egoiści;2000;94.0;5.586430072784424;3772;2799;5.75;4.0;Mariusz Treliński;Mariusz Treliński, Wojciech Nowak;Dramat;Polska;;;141;162;374;392;675;751;592;408;142;135;137;Długometrażowy;Polska
Cenzorka;Censor;2021;84.0;5.445980072021484;3758;1691;6.25;16.0;Prano Bailey-Bond;Prano Bailey-Bond, Anthony Fletcher;Thriller;Wielka Brytania;;;87;127;323;427;776;964;740;252;32;30;34;Długometrażowy;Europa
Koncert na 50 serc;Music of the Heart;1999;124.0;7.143400192260742;4728;3504;5.0;5.0;Wes Craven;Pamela Gray;Dokumentalny;USA;14859394.0;27000000.0;27;32;59;113;261;723;1584;1296;375;258;54;Długometrażowy;USA
Czarny blues;Mo' Better Blues;1990;129.0;7.517730236053467;4597;5093;7.0;1.0;Spike Lee;Spike Lee;Dramat;USA;16153593.0;10000000.0;22;15;34;67;231;520;1175;1509;675;349;92;Długometrażowy;USA
Hounddog;Hounddog;2007;102.0;7.638259887695312;4553;6815;5.0;1.0;Deborah Kampmeier;Deborah Kampmeier;Dramat;USA;;;33;15;46;73;252;524;1105;1229;447;829;194;Długometrażowy;USA
Imaginaerum;Imaginaerum;2012;86.0;7.042049884796143;4518;4712;;;Stobe Harju;Stobe Harju, Mikko Rautalahti;Dramat;Finlandia;;;45;51;133;167;404;689;1088;1011;556;374;354;Długometrażowy;Europa
Pod prąd;Hustle & Flow;2005;116.0;7.3411102294921875;4503;3012;7.0;1.0;Craig Brewer;Craig Brewer;Dramat;USA;22202809.0;2800000.0;40;12;43;85;213;587;1344;1382;497;300;165;Długometrażowy;USA
Dotknij nieba;I Can Only Imagine;2018;110.0;7.082479953765869;4377;4042;6.0;1.0;Andrew Erwin, Jon Erwin;Jon Erwin, Brent McCorkle;Dokumentalny;USA;83482352.0;7000000.0;19;20;78;138;338;779;1267;994;470;274;76;Długometrażowy;USA
Chico i Rita;Chico & Rita;2010;94.0;6.651430130004883;4355;3921;5.8;5.0;Javier Mariscal, Fernando Trueba;Fernando Trueba, Ignacio Martínez de Pisón;Animacja;Hiszpania;350524.0;;21;24;84;165;489;1028;1387;833;240;84;108;Długometrażowy;Europa
Więzi;Więzi;2016;18.0;7.731599807739258;3085;2608;8.0;7.0;Zofia Kowalewska;Zofia Kowalewska;Dokumentalny;Polska;;;4;7;6;27;72;230;781;1315;449;194;34;Krótkometrażowy;Polska
89 mm od Europy;89 mm od Europy;1993;12.0;7.149580001831055;3082;1612;7.33333;6.0;Marcel Łoziński;Marcel Łoziński;Dokumentalny;Polska;;;9;11;24;56;196;438;1095;918;259;76;23;Krótkometrażowy;Polska
Tramwaj;Tramwaj;1966;5.0;6.397190093994141;3064;366;5.5;4.0;Krzysztof Kieślowski;Krzysztof Kieślowski;Dramat;Polska;;;10;14;57;159;405;928;956;390;99;46;25;Krótkometrażowy;Polska
Kotbull;Kitbull;2019;9.0;7.330800056457519;3029;386;6.4;5.0;Rosanna Sullivan;Rosanna Sullivan;Animacja;USA;;;2;3;18;46;141;441;990;942;318;128;15;Krótkometrażowy;USA
Godzina policyjna;Curfew;2012;19.0;7.702020168304443;3027;2669;6.0;1.0;Shawn Christensen;Shawn Christensen;Dramat;USA;;;7;5;16;30;102;206;752;1213;545;151;69;Krótkometrażowy;USA
Maggie Simpson w żłobku zagłady;The Longest Daycare;2012;5.0;6.52230978012085;3025;670;8.0;1.0;David Silverman;James L. Brooks, Matt Groening;Animacja;USA;;;18;21;36;115;344;854;1043;436;111;47;42;Krótkometrażowy;USA
Luxo Jr.;Luxo Jr.;1986;2.0;6.356949806213379;3020;335;7.0;2.0;John Lasseter;John Lasseter;Animacja;USA;;;18;25;82;185;421;876;834;369;107;103;7;Krótkometrażowy;USA
Beat the Devil;Beat the Devil;2002;9.0;7.332880020141602;2971;2442;7.0;1.0;Tony Scott;David Carter, Greg Hahn;Komedia;USA;;;19;12;45;82;159;414;711;937;392;200;33;Krótkometrażowy;USA
Pierwsza randka Riley?;Riley's First Date?;2015;5.0;7.127570152282715;2971;379;;;Josh Cooley;Josh Cooley;Animacja;USA;;;6;5;14;54;128;507;1222;747;190;98;25;Krótkometrażowy;USA
Bez skazy;Flawless;1999;112.0;6.966509819030762;5106;4708;6.0;1.0;Joel Schumacher;Joel Schumacher;Dramat;USA;4488529.0;15000000.0;38;18;68;119;330;967;1856;1196;335;179;72;Długometrażowy;USA
Kocham cię na zabój;I Love You to Death;1990;96.0;6.793109893798828;5051;2218;6.0;1.0;Lawrence Kasdan;John Kostmayer;Komedia;USA;16186793.0;;13;22;76;157;486;1162;1713;966;282;174;56;Długometrażowy;USA
Sztuka kradzieży;The Art of the Steal;2013;90.0;5.7791900634765625;5027;1584;4.0;1.0;Jonathan Sobol;Jonathan Sobol;Komedia;Kanada;;;55;71;260;447;1055;1594;1082;338;80;45;107;Długometrażowy;Pozostałe
Policyjna opowieść 2;Ging chaat goo si juk jaap;1988;101.0;7.233069896697998;4977;813;;;Jackie Chan;Jackie Chan, Edward Tang;Komedia;Hongkong;;;33;20;45;94;255;747;1674;1390;370;349;28;Długometrażowy;Pozostałe
Trzech facetów z Teksasu;Bottle Rocket;1996;90.0;6.329430103302002;4957;4485;7.5;2.0;Wes Anderson;Owen Wilson, Wes Anderson;Komedia;USA;560069.0;7000000.0;37;24;102;235;699;1522;1565;573;122;78;27;Długometrażowy;USA
Różowa Pantera kontratakuje;The Pink Panther Strikes Again;1976;103.0;7.270979881286621;4956;892;6.0;2.0;Blake Edwards;Blake Edwards, Frank Waldman;Komedia;Wielka Brytania;33833201.0;6000000.0;27;14;70;114;254;734;1558;1316;484;385;43;Długometrażowy;Europa
Cienie we mgle;Shadows and Fog;1991;86.0;7.050930023193359;4948;4359;6.77778;9.0;Woody Allen;Woody Allen;Komedia;USA;2735731.0;14000000.0;55;15;46;114;350;863;1675;1186;372;272;58;Długometrażowy;USA
Anatomia zemsty;Life of Crime;2013;94.0;5.448150157928467;4831;2895;4.0;1.0;Daniel Schechter;Daniel Schechter;Komedia;USA;;;34;70;313;627;1387;1413;719;194;39;35;52;Długometrażowy;USA
Przyzwoity przestępca;Ordinary Decent Criminal;2000;93.0;6.800370216369629;4804;3558;6.0;1.0;Thaddeus O'Sullivan;Gerard Stembridge;Komedia;Niemcy;;;34;16;74;108;453;982;1776;1008;234;119;46;Długometrażowy;Europa
Fletch;Fletch;1985;98.0;7.020480155944824;4786;1344;7.0;1.0;Michael Ritchie;Andrew Bergman, Phil Alden Robinson;Komedia;USA;50612888.0;;20;12;42;120;323;909;1743;1096;298;223;88;Długometrażowy;USA
Kolumb odkrywca;Christopher Columbus: The Discovery;1992;120.0;5.631370067596436;1530;606;5.5;2.0;John Glen;Mario Puzo, John Briley;Dokumentalny;USA;8251071.0;40000000.0;18;38;112;160;355;419;287;75;12;54;48;Długometrażowy;USA
Rosyjska arka;Russkiy kovcheg;2002;96.0;6.78380012512207;1494;4241;6.5;4.0;Aleksander Sokurow;Aleksander Sokurow, Boris Khaimsky;Dramat;Rosja;2364963.0;;28;18;60;57;162;240;365;318;146;100;81;Długometrażowy;Europa
Rebeliant;The Rising: Ballad of Mangal Pandey;2005;150.0;7.575119972229004;1471;993;;;Ketan Mehta;Farrukh Dhondy;Dokumentalny;Indie;954108.0;;35;7;18;14;62;147;351;409;217;211;70;Długometrażowy;Pozostałe
Latający mnich i tajemnica da Vinci;Legenda o lietajúcom Cypriánovi;2010;108.0;5.660459995269775;1449;1543;;;Mariana Čengel-Solčanská;Mariana Čengel-Solčanská;Akcja;Polska;;;41;28;118;163;315;308;258;133;44;41;42;Długometrażowy;Polska
Wzbierająca burza;The Gathering Storm;2002;95.0;6.797770023345947;1434;1834;6.66667;3.0;Richard Loncraine;Hugh Whitemore, Larry Ramin;Dokumentalny;Wielka Brytania;;;11;10;27;56;107;284;480;357;63;39;21;Długometrażowy;Europa
Chartum;Khartoum;1966;134.0;7.032839775085449;1431;570;6.0;2.0;Basil Dearden, Eliot Elisofon;Robert Ardrey;Akcja;Wielka Brytania;;;14;5;10;29;84;267;508;366;92;56;20;Długometrażowy;Europa
Syberiada;Sibiriada;1979;275.0;7.7924299240112305;1426;2872;8.66667;3.0;Andriej Konczałowski;Andriej Konczałowski, Valentin Ezhov;Dramat;ZSRR;;;25;4;17;18;46;97;279;460;289;191;81;Długometrażowy;Europa
