Tytuł;Tytuł org.;Rok;Długość;Ocena;Liczba ocen;Chce zobaczyć;Ocena krytyków;Liczba ocen krytyków;Reżyser;Scenariusz;Gatunek;Kraj;Box Office;Budżet;1;2;3;4;5;6;7;8;9;10;Komentarze;Typ długości;Region
Kocha, lubi, szanuje;Crazy, Stupid, Love.;2011;118.0;7.35194;219995;28767;6.73684;19.0;Glenn Ficarra, John Requa;Dan Fogelman;Dramat;USA;84351197.0;50000000.0;233;309;1352;2769;8797;29428;74302;72428;22453;7924;1549;Długometrażowy;USA
Turysta;The Tourist;2010;103.0;6.59079;193750;23140;4.57143;7.0;Florian Henckel von Donnersmarck;Julian Fellowes, Christopher McQuarrie;Thriller;USA;67631157.0;100000000.0;915;1532;5877;8877;23170;43317;58687;34830;10803;5742;2453;Długometrażowy;USA
Step Up - Taniec zmysłów;Step Up;2006;104.0;6.96521;222919;7093;4.5;4.0;Anne Fletcher;Duane Adler, Melissa Rosenberg;Dramat;USA;65328121.0;12000000.0;3531;2708;6212;9789;18370;35588;57302;47276;20192;21951;3018;Długometrażowy;USA
Urodzeni mordercy;Natural Born Killers;1994;122.0;7.60397;104621;48918;7.08696;23.0;Oliver Stone;Oliver Stone, Richard Rutowski;Dramat;USA;50282766.0;34000000.0;792;636;1626;2063;4800;9815;22669;32159;19114;10947;1392;Długometrażowy;USA
Władca Pierścieni: Drużyna Pierścienia;The Lord of the Rings: The Fellowship of the Ring;2001;178.0;8.00983;718642;23901;7.89286;28.0;Peter Jackson;Peter Jackson, Fran Walsh;Fantasy;Nowa Zelandia;316115420.0;93000000.0;11848;5424;10644;14128;23970;42496;100542;188868;151726;168996;15675;Długometrażowy;Pozostałe
Piraci z Karaibów: Klątwa Czarnej Perły;Pirates of the Caribbean: The Curse of the Black Pearl;2003;143.0;7.73962;726048;23127;6.81818;22.0;Gore Verbinski;Ted Elliott, Terry Rossio;Fantasy;USA;305413918.0;140000000.0;6391;3646;8524;14593;29294;63001;148352;220878;121942;109427;5867;Długometrażowy;USA
Władca Pierścieni: Powrót króla;The Lord of the Rings: The Return of the King;2003;201.0;8.38381;518971;19739;7.73077;26.0;Peter Jackson;Fran Walsh, Peter Jackson;Fantasy;Nowa Zelandia;378251207.0;94000000.0;4296;1266;3037;4453;9462;21705;64437;140594;133360;136361;16868;Długometrażowy;Pozostałe
Sherlock Holmes;Sherlock Holmes;2009;128.0;7.7278;444392;40225;6.95833;24.0;Guy Ritchie;Michael Robert Johnson, Simon Kinberg;Akcja;USA;209028679.0;90000000.0;1326;1068;3388;5840;14878;38489;104871;155369;76817;42346;4174;Długometrażowy;USA
Władca Pierścieni: Dwie wieże;The Lord of the Rings: The Two Towers;2002;179.0;8.31055;500193;16857;7.92308;26.0;Peter Jackson;Peter Jackson, Fran Walsh;Fantasy;Nowa Zelandia;342952511.0;94000000.0;2757;1131;2762;4297;9208;22339;68723;149486;125535;113955;6019;Długometrażowy;Pozostałe
Wszystko za życie;Into the Wild;2007;148.0;7.86585;261836;89150;7.0;18.0;Sean Penn;Sean Penn;Dokumentalny;USA;18354356.0;15000000.0;1312;975;3150;4280;10277;20102;47550;79010;58996;36184;6179;Długometrażowy;USA
Epoka lodowcowa;Ice Age;2002;81.0;7.59073;490107;9042;6.75;16.0;Chris Wedge;Michael Berg, Michael J. Wilson;Animacja;USA;176387405.0;59000000.0;1959;1386;3679;8079;19129;52305;129181;159413;66621;48355;1607;Długometrażowy;USA
Hobbit: Niezwykła podróż;The Hobbit: An Unexpected Journey;2012;169.0;7.62446;393214;29062;6.61111;18.0;Peter Jackson;Guillermo del Toro, Peter Jackson;Fantasy;USA;303030651.0;180000000.0;1740;1136;3925;6161;16609;38403;96478;127120;64574;37068;58775;Długometrażowy;USA
Harry Potter i Kamień Filozoficzny;Harry Potter and the Sorcerer's Stone;2001;152.0;7.50504;428858;9033;6.6;20.0;Chris Columbus;Steve Kloves;Familijny;USA;318886962.0;125000000.0;3656;1956;4674;8839;20797;51682;115457;114751;49094;57952;4424;Długometrażowy;USA
Piraci z Karaibów: Skrzynia umarlaka;Pirates of the Caribbean: Dead Man's Chest;2006;150.0;7.75613;419891;11398;6.06667;15.0;Gore Verbinski;Ted Elliott, Terry Rossio;Fantasy;USA;423315812.0;225000000.0;1894;652;2162;4516;12422;36920;103651;146368;64209;47097;10550;Długometrażowy;USA
Metropolis;Metropolis;1927;153.0;8.01214;23893;29656;7.6875;16.0;Fritz Lang;Fritz Lang, Thea von Harbou;Fantasy;Niemcy;1236166.0;;255;60;164;243;554;1435;4290;7705;5325;3862;588;Długometrażowy;Europa
Nosferatu - symfonia grozy;Nosferatu, eine Symphonie des Grauens;1922;94.0;7.68635;32887;18949;7.6875;16.0;F.W. Murnau;Henrik Galeen;Thriller;Niemcy;;;458;123;308;458;1169;2877;7432;10524;5382;4156;1112;Długometrażowy;Europa
Gabinet doktora Caligari;Das Cabinet des Dr. Caligari;1920;71.0;7.82706;20920;19598;7.84211;19.0;Robert Wiene;Carl Mayer, Hans Janowitz;Thriller;Niemcy;;;339;63;140;217;508;1419;4205;7384;4022;2623;493;Średniometrażowy;Europa
Pies andaluzyjski;Un chien andalou;1929;16.0;7.37559;31612;14521;7.41667;12.0;Luis Buñuel;Luis Buñuel, Salvador Dali;;Francja;;;368;231;515;651;1694;3584;7974;9591;4382;2622;700;Krótkometrażowy;Europa
Światła wielkiego miasta;City Lights;1931;87.0;8.13671;13130;13007;8.35714;14.0;Charlie Chaplin;Harry Clive, Harry Crocker;Dramat;USA;3289181.0;1500000.0;87;12;49;87;189;666;2301;4544;3121;2074;162;Długometrażowy;USA
